Project name,Project Ticker,since,Max. Supply,Type of Funding,Consensus Type,Algorithm,Base Code,Mineable,Difficulty Adjustment,Block Size (MD),block time,Transactions Per second,MasterNodes,Privacy By default,optional privacy,Privacy Type/Features,other features,Community size,developers count,Team Members total,official website,repository,oficial paper,offers exclusive mobile wallet?,open source mobile wallets,open source wallet ios,open source wallet Android,notes
Spectrecoin,XSPEC,2016,Unlimited,1/6 (~16.7%) of Block Rewards go to team development fund,Proof-of-Stake v3.0 (POS),Proof-of-Stealth anonymous staking algorithm,Blackcoin,NO,,,1 minute,100,NO,NO,YES,"Built in Tor, Ring Signatures, OBFS4, Stealth addresses","Dual-coin system, Anonymous Spectrecoin Creation",,4,8,https://spectreproject.io/,https://github.com/spectrecoin/spectre,https://spectreproject.io/Spectrecoin_White-Paper.pdf,no,,,,
DeepOnion,ONION,2017,"25,000,000","Absolute unclear: Premine + Airdrops + 2,000,000 hold by Founding Members",Hybrid Proof-of-Work (POW) / Proof-of-Stake (POS),X13,,YES,diff retarget each block,,3 or 4 minutes,62,NO,,,"Onion Router protocol (TOR Network), Stealth adresses, OBFS4, Meek, DeepSend","DeepVault notarization technology, browser apps, VoteCentral","15,923",9,21,https://deeponion.org/,https://github.com/deeponion/deeponion,https://deeponion.org/downloads/whitepaper.pdf,android only,yes,https://github.com/deeponion/electrum-deeponion,,electrum clone
CloakCoin,CLOAK,2014,"Today 5,277,872, +6% yearly","Self-funded, Donations",Proof-of-Stake (POS),improved version of PoSA3,Bitcoin Codebase v0.17.0.1,NO,,,1 minute,,NO,YES,YES,"CloakShield, Enigma, Stealth addresses",,"26,344",4,23,https://www.cloakcoin.com/en/home.html,https://github.com/CloakProject,https://www.cloakcoin.com/en/project/whitepaper,android only,yes,,https://github.com/CloakProject/cloakcoin-mobile-wallet,
Phore,PHR,2017,"30,000,000",Development Fund - 10% of block rewards,Proof-of-Stake (POS),POS v3.0,Rebrand of KryptKoin (KTK),NO,,,1 minute,,YES,NO,YES,"Zerocoin Protocol (zPHR),","Segwit Integration,","63,040",6,18,https://phore.io/,https://github.com/phoreproject/Phore,https://phore.io/wp-content/uploads/2019/03/Phore_Blockchain_Whitepaper_v2.2.1_English.pdf,yes,yes,https://github.com/phoreproject/Phore-iOS,https://github.com/phoreproject/Phore-Android,
Graft,GRFT,2018,"1,844,674,400","Donations, Investors",Hybrid Proof-of-Stake (POS) / Proof-of-Work (POW),Cryptonight V8,Cryptonote??,YES,,,2 minutes,,"NO, but Supernode, Proxy Supernode",,"YES, digital identity profile",CryptoNote protocol,instant transation speed,"3,981",4,14,https://www.graft.network/,https://github.com/graft-project,https://www.graft.network/wp-content/uploads/2018/02/Graft-White-Paper-1.2.pdf,yes,no,,,
Stealth,XST,2014,"20,700,000","Premine: 232,740 = ~1%",Quantum Proof-of-Stake (qPoS),X13,,NO,,,: 1 minute,,NO,,,"Tor Privacy, StealthText (anonymous cryptographic SMS transaction sending technology)",StealthRelay,"11,580",,,https://stealth.org/,https://github.com/StealthSend/Stealth/wiki/Stealth-Quantum-PoS-(qPoS),https://github.com/StealthSend/Stealth/wiki/Stealth-Quantum-PoS-(qPoS),yes,no,,,
Haven Protocol,XHV,2018,"18,400,000 coins before tail emission and Offshore Storage",5% governance fee from block reward,Proof-of-Work (POW),Cryptonight Haven,Monero,YES,LWMA difficulty algorithim,,2 minutes,,NO,YES,NO,"Offshore Storage (burning), Ring signatures, Ring Confidential Transactions (RingCT), stealth addresses","stable fiat value storage, dual coin blockchain","8,137",,,https://www.havenprotocol.com/,https://github.com/haven-protocol-org,https://www.havenprotocol.com/files/ugd/4f3cdc_fadc169c04a342a9bc4eee93f408628a.pdf,no,,,,
Shield,XSH,2017,"752,520,000",Donations only driven,Hybrid Multi-Proof-of-Work (POW)/ Proof of Stake (POS),"Scrypt, X16s, X17, Myriad-Groestl, Blake2s, Lyra2rev2",Bitcoin Core v0.16.1,YES,,,45 seconds,,YES,NO,YES,???,"PoS BOO, social media integration (planned)",,,,http://www.shield-coin.com/,https://github.com/ShieldCoin/SHIELD,no paper,no,,,,
BitcoinZ,BTCZ,2017,"21,000,000,000",,Proof-of-Work (POW),Zhash (Equihash) 144/5,Zcash,YES,,,2.5 Minutes,,NO,YES,,zk-SNARKs,,"5,955",,,https://btcz.rocks/,https://github.com/btcz/bitcoinz,https://drive.google.com/file/d/1aLuEcyHNKq215X4am2YQNXfQmPnV1pTt/edit,no,,,,
SnowGem,SnowGem,2018,"84,096,000",7.5% founders reward per block,Proof-of-Work (POW),Zhash (Equihash) 144/5,Zcash,YES,Difficulty Re-targeting every block,,1 minute,,YES,NO,YES,zSNARKs,,"1,299",5,7,https://snowgem.org/,https://github.com/Snowgem/Snowgem,no paper,no,,,,
Ryo Currency,RYO,2018,80.188.888,"8,000,000 Dev Fund over 6 years",Proof-of-Work (POW),Cryptonite GPU,Monero,YES,Difficulty adjusted every block,,240 seconds = 4 minutes,,NO,YES,NO,Ring Confidential Transactions (RingCT) with minimum ringsize of 25,"Bulletproofs, Increasing default ring sizes. (up to 100+","1,256",2,7,https://ryo-currency.com/,https://github.com/ryo-currency/ryo-currency,https://cryptonote.org/whitepaper.pdf,no,,,,
Zero,ZER,2017,"17,000,000",7.5% per block.for development,Proof-of-Work (POW),Equihash 192/7,Zcash,YES,,,2 minutes,,NO,NO,YES,"zk-SNARKs, latest Zcash technology pulled",,"3,493",2,7,https://github.com/zerocurrency/zero,https://github.com/zerocurrency/zero,no paper,no,,,,
